TICKER,SECTOR,INDUSTRY
BRK-B,Financial Services,Insurance—Diversified
CRSR,Technology,Computer Hardware
KOAN,Healthcare,Drug Manufacturers—Specialty & Generic
EQHA,Financial Services,Shell Companies
BRX,Real Estate,REIT—Retail
ASH,Basic Materials,Specialty Chemicals
TARS,Healthcare,Biotechnology
CRBP,Healthcare,Biotechnology
VVI,Industrials,Specialty Business Services
KMT,Industrials,Tools & Accessories
PNNT,Financial Services,Asset Management
NINK,Basic Materials,Other Industrial Metals & Mining
CR,Industrials,Specialty Industrial Machinery
PRLB,Industrials,Metal Fabrication
OCC,Technology,Communication Equipment
BELFA,Technology,Electronic Components
TTC,Industrials,Tools & Accessories
MGYR,Financial Services,Banks—Regional
VTOL,Energy,Oil & Gas Equipment & Services
SLNH,Technology,Scientific & Technical Instruments
TERN,Healthcare,Biotechnology
HXL,Industrials,Aerospace & Defense
UBFO,Financial Services,Banks—Regional
NRSAX,Fund,
IIM,Financial Services,Asset Management
HP,Energy,Oil & Gas Drilling
MPV,Financial Services,Asset Management
LHC,Financial Services,Shell Companies
GFF,Industrials,Conglomerates
PTON,Consumer Cyclical,Leisure
STRN,Communication Services,Advertising Agencies
VAL,Energy,Oil & Gas Equipment & Services
DNIF,Financial Services,Asset Management
TTEC,Technology,Information Technology Services
RDNT,Healthcare,Diagnostics & Research
KRUS,Consumer Cyclical,Restaurants
CRWD,Technology,Software—Infrastructure
HYPR,Healthcare,Medical Devices
PRDS,Healthcare,Biotechnology
AMPG,Technology,Communication Equipment
CBFV,Financial Services,Banks—Regional
CHCT,Real Estate,REIT—Healthcare Facilities
CLCN,Consumer Defensive,Education & Training Services
NHWK,Healthcare,Biotechnology
HESM,Energy,Oil & Gas Midstream
ADAP,Healthcare,Biotechnology
STRI,Technology,Semiconductor Equipment & Materials
NTRB,Healthcare,Biotechnology
FDMT,Healthcare,Biotechnology
CRVL,Financial Services,Insurance Brokers
KAL,Consumer Defensive,Farm Products
PNM,Utilities,Utilities—Regulated Electric
ASTC,Industrials,Aerospace & Defense
SHQA,Financial Services,Shell Companies
ACI,Consumer Defensive,Grocery Stores
HCII,Financial Services,Shell Companies
DECK,Consumer Cyclical,Footwear & Accessories
LANC,Consumer Defensive,Packaged Foods
CNRLX,Fund,
MTCR,Healthcare,Biotechnology
SILO,Healthcare,Biotechnology
PBH,Healthcare,Medical Distribution
USER,Technology,Software—Application
YTPG,Financial Services,Shell Companies
LFST,Healthcare,Medical Care Facilities
IGC,Industrials,Conglomerates
CGEM,Healthcare,Biotechnology
POSH,Consumer Cyclical,Internet Retail
TEX,Industrials,Farm & Heavy Construction Machinery
CEMI,Healthcare,Diagnostics & Research
BE,Industrials,Electrical Equipment & Parts
ANVS,Healthcare,Biotechnology
TKR,Industrials,Tools & Accessories
CFFN,Financial Services,Banks—Regional
CALA,Healthcare,Biotechnology
BGNE,Healthcare,Biotechnology
GLXZ,Consumer Cyclical,Gambling
NWL,Consumer Defensive,Household & Personal Products
WBA,Healthcare,Pharmaceutical Retailers
BLBD,Consumer Cyclical,Auto Manufacturers
GPS,Consumer Cyclical,Apparel Retail
BY,Financial Services,Banks—Regional
RAIN,Healthcare,Biotechnology
AOSL,Technology,Semiconductors
NPAB,Financial Services,Shell Companies
AIO,Fund,
DIAX,Financial Services,Asset Management
ACA,Industrials,Infrastructure Operations
IMTE,Technology,Electronic Components
IBKR,Financial Services,Capital Markets
VREX,Healthcare,Medical Devices
SCHN,Basic Materials,Steel
ODFL,Industrials,Trucking
MSPR,Healthcare,Health Information Services
ASGN,Technology,Information Technology Services
CUBI,Financial Services,Banks—Regional
MANH,Technology,Software—Application
BTMD,Healthcare,Medical Care Facilities
FLS,Industrials,Specialty Industrial Machinery
RCIAX,Fund,
TMUS,Communication Services,Telecom Services
SACH,Real Estate,REIT—Mortgage
JHS,Financial Services,Asset Management
OGE,Utilities,Utilities—Regulated Electric
BOH,Financial Services,Banks—Regional
ATRA,Healthcare,Biotechnology
CB,Financial Services,Insurance—Property & Casualty
QIAN,Financial Services,Shell Companies
NCSM,Energy,Oil & Gas Equipment & Services
FSP,Real Estate,REIT—Office
INSI,Financial Services,Asset Management
YUMAQ,Energy,Oil & Gas E&P
GRWG,Consumer Cyclical,Specialty Retail
TBK,Financial Services,Banks—Regional
SIVB,Financial Services,Banks—Regional
KRBP,Healthcare,Biotechnology
BCBP,Financial Services,Banks—Regional
JSD,Financial Services,Asset Management
WYY,Technology,Information Technology Services
ORGS,Healthcare,Biotechnology
JBSS,Consumer Defensive,Packaged Foods
OPAD,Real Estate,Real Estate Services
WLDN,Industrials,Engineering & Construction
COKE,Consumer Defensive,Beverages—Non-Alcoholic
EVE,Financial Services,Shell Companies
JQC,Financial Services,Asset Management
QUOT,Communication Services,Advertising Agencies
OLED,Technology,Semiconductor Equipment & Materials
RBAC,Financial Services,Shell Companies
ADM,Consumer Defensive,Farm Products
ZYNE,Healthcare,Drug Manufacturers—Specialty & Generic
HYT,Financial Services,Asset Management
LITE,Technology,Communication Equipment
VNRX,Healthcare,Diagnostics & Research
COTY,Consumer Defensive,Household & Personal Products
CWK,Real Estate,Real Estate Services
PRA,Financial Services,Insurance—Property & Casualty
ADT,Industrials,Security & Protection Services
SRE,Utilities,Utilities—Diversified
CLNN,Healthcare,Biotechnology
IPAX,Financial Services,Shell Companies
AUGX,Healthcare,Health Information Services
CACC,Financial Services,Credit Services
VRNT,Technology,Software—Infrastructure
KLTR,Technology,Software—Infrastructure
PTC,Technology,Software—Application
TCI,Real Estate,Real Estate Services
HCNE,Financial Services,Shell Companies
FARO,Technology,Scientific & Technical Instruments
ONB,Financial Services,Banks—Regional
BTDG,Consumer Cyclical,Leisure
FPI,Real Estate,REIT—Specialty
HRL,Consumer Defensive,Packaged Foods
FTHY,Fund,
BLD,Industrials,Engineering & Construction
ALLY,Financial Services,Credit Services
HOTH,Healthcare,Biotechnology
NOTV,Healthcare,Diagnostics & Research
DWOG,Energy,Oil & Gas E&P
AMTY,Consumer Cyclical,Auto Parts
HOV,Consumer Cyclical,Residential Construction
HST,Real Estate,REIT—Hotel & Motel
TW,Financial Services,Capital Markets
REV,Consumer Defensive,Household & Personal Products
SYRS,Healthcare,Biotechnology
QUIK,Technology,Semiconductors
ZNRG,Industrials,Electrical Equipment & Parts
VERY,Financial Services,Insurance—Life
RPHM,Healthcare,Biotechnology
PLTK,Communication Services,Electronic Gaming & Multimedia
BILL,Technology,Software—Application
ARWR,Healthcare,Biotechnology
AUPH,Healthcare,Biotechnology
CVGI,Consumer Cyclical,Auto Parts
FBRT,Real Estate,REIT—Mortgage
LILA,Communication Services,Telecom Services
KMB,Consumer Defensive,Household & Personal Products
DCTH,Healthcare,Medical Devices
HTIA,Real Estate,REIT—Healthcare Facilities
FCRD,Financial Services,Asset Management
MLTX,Healthcare,Biotechnology
NTCT,Technology,Software—Infrastructure
RGNX,Healthcare,Biotechnology
GRVI,Healthcare,Drug Manufacturers—Specialty & Generic
RYAM,Basic Materials,Chemicals
POWL,Industrials,Electrical Equipment & Parts
PPHP,Financial Services,Shell Companies
CTV,Communication Services,Advertising Agencies
PACX,Financial Services,Shell Companies
PHCI,Healthcare,Medical Care Facilities
AOD,Financial Services,Asset Management
GWSN,Industrials,Security & Protection Services
RCKY,Consumer Cyclical,Footwear & Accessories
SHWZ,Healthcare,Drug Manufacturers—Specialty & Generic
LMAT,Healthcare,Medical Instruments & Supplies
VLGEA,Consumer Defensive,Grocery Stores
ACHV,Healthcare,Biotechnology
SONO,Technology,Consumer Electronics
BSTZ,Fund,
VNO,Real Estate,REIT—Office
WE,Real Estate,Real Estate Services
BBIG,Consumer Cyclical,Leisure
AREC,Basic Materials,Coking Coal
CBMB,Fund,
AUUD,Technology,Software—Application
GWH,Industrials,Electrical Equipment & Parts
BBLG,Healthcare,Medical Devices
OCCI,Financial Services,Asset Management
KDNY,Healthcare,Biotechnology
EDSA,Healthcare,Biotechnology
KF,Financial Services,Asset Management
BBDC,Financial Services,Credit Services
UFPI,Basic Materials,Lumber & Wood Production
EVLO,Healthcare,Biotechnology
SOHO,Real Estate,REIT—Hotel & Motel
DXLG,Consumer Cyclical,Apparel Retail
GENC,Industrials,Farm & Heavy Construction Machinery
FL,Consumer Cyclical,Apparel Retail
MUSA,Consumer Cyclical,Specialty Retail
SCCO,Basic Materials,Copper
SNOA,Healthcare,Drug Manufacturers—Specialty & Generic
NINE,Energy,Oil & Gas Equipment & Services
VRTX,Healthcare,Biotechnology
SPSC,Technology,Software—Infrastructure
ENSV,Energy,Oil & Gas Equipment & Services
NCZ,Financial Services,Asset Management
CNCE,Healthcare,Biotechnology
KRMD,Healthcare,Medical Instruments & Supplies
FORM,Technology,Semiconductors
LXP,Real Estate,REIT—Industrial
MIY,Financial Services,Asset Management
AGR,Utilities,Utilities—Regulated Electric
ESI,Basic Materials,Specialty Chemicals
AUB,Financial Services,Banks—Regional
USB,Financial Services,Banks—Regional
PRCT,Healthcare,Medical Devices
FCPT,Real Estate,REIT—Retail
SEVN,Real Estate,REIT—Mortgage
CEQP,Energy,Oil & Gas Midstream
FLEX,Technology,Electronic Components
HBIS,Consumer Defensive,Packaged Foods
ADTH,Communication Services,Advertising Agencies
ENDV,Healthcare,Biotechnology
USA,Financial Services,Asset Management
NROM,Consumer Cyclical,Restaurants
CMT,Basic Materials,Specialty Chemicals
DG,Consumer Defensive,Discount Stores
AIB,Financial Services,Shell Companies
AES,Utilities,Utilities—Diversified
SIX,Consumer Cyclical,Leisure
GCREX,Fund,
SRCO,Technology,Software—Application
CSX,Industrials,Railroads
AIN,Consumer Cyclical,Textile Manufacturing
AG,Basic Materials,Silver
MODD,Healthcare,Medical Devices
GBT,Healthcare,Biotechnology
ELDN,Healthcare,Biotechnology
ALKS,Healthcare,Biotechnology
DUOT,Technology,Software—Application
ATNX,Healthcare,Drug Manufacturers—Specialty & Generic
BTBD,Consumer Cyclical,Restaurants
ORI,Financial Services,Insurance—Diversified
VERB,Technology,Software—Application
BLDR,Industrials,Building Products & Equipment
IGNY,Financial Services,Shell Companies
PODD,Healthcare,Medical Devices
INFI,Healthcare,Biotechnology
TCBP,Healthcare,Biotechnology
LBTD,Basic Materials,Agricultural Inputs
PMF,Financial Services,Asset Management
DLYT,Industrials,Electrical Equipment & Parts
AVGR,Healthcare,Medical Instruments & Supplies
VSEC,Industrials,Aerospace & Defense
SANM,Technology,Electronic Components
CSCO,Technology,Communication Equipment
IOT,Technology,Software—Infrastructure
BCO,Industrials,Security & Protection Services
NBH,Financial Services,Asset Management
VHAQ,Financial Services,Shell Companies
DRMA,Healthcare,Biotechnology
PKBK,Financial Services,Banks—Regional
FOSL,Consumer Cyclical,Luxury Goods
BYND,Consumer Defensive,Packaged Foods
FLGT,Healthcare,Diagnostics & Research
KAVL,Consumer Defensive,Tobacco
KALV,Healthcare,Biotechnology
ROAD,Industrials,Engineering & Construction
LEXX,Healthcare,Biotechnology
SSP,Communication Services,Broadcasting
DTM,Energy,Oil & Gas Midstream
TTP,Financial Services,Asset Management
ARR,Real Estate,REIT—Mortgage
NYMX,Healthcare,Biotechnology
EWLL,Healthcare,Health Information Services
RMBS,Technology,Semiconductors
PSTV,Healthcare,Biotechnology
BOAC,Financial Services,Shell Companies
TFC,Financial Services,Banks—Regional
SMCI,Technology,Computer Hardware
GNBT,Healthcare,Biotechnology
SI,Financial Services,Banks—Regional
FSLY,Technology,Software—Application
LUV,Industrials,Airlines
AMG,Financial Services,Asset Management
TJX,Consumer Cyclical,Apparel Retail
KMF,Financial Services,Asset Management
MKSI,Technology,Scientific & Technical Instruments
MDLZ,Consumer Defensive,Confectioners
BAX,Healthcare,Medical Instruments & Supplies
ARTL,Healthcare,Biotechnology
CMLS,Communication Services,Broadcasting
PEPG,Healthcare,Biotechnology
WIA,Financial Services,Asset Management
ATH-PA,Financial Services,Insurance—Diversified
VENA,Financial Services,Shell Companies
WSR,Real Estate,REIT—Retail
ZDPY,Real Estate,Real Estate Services
NVNO,Healthcare,Medical Devices
TRT,Technology,Semiconductor Equipment & Materials
TKLS,Technology,Consumer Electronics
CFMS,Healthcare,Medical Devices
CXE,Financial Services,Asset Management
CMRX,Healthcare,Biotechnology
FRD,Basic Materials,Steel
NG,Basic Materials,Gold
CWEN,Utilities,Utilities—Renewable
PATI,Industrials,Trucking
CBU,Financial Services,Banks—Regional
QURE,Healthcare,Biotechnology
ELY,Consumer Cyclical,Leisure
LSAK,Technology,Software—Infrastructure
DESTQ,Consumer Cyclical,Apparel Retail
APEN,Healthcare,Medical Devices
SLG,Real Estate,REIT—Office
LARAX,Fund,
